"id","exam_id","module_type","question_number","question_type","difficulty_level","question_markdown_backup","question_image_url","options_markdown_backup","correct_answer","explanation_markdown_backup","points","topic_tags","created_at","updated_at","table_data","correct_answers","content_format","question_html","options_html","explanation_html","question_text","options","explanation","html_migration_status","deleted_at"
"a6247cf0-d327-483f-bc0d-ce478a1c72a3","f47ac10b-58cc-4372-a567-0e02b2c3d479","math2","13","grid_in","medium","For the positive quantities $h$, $j$, and $k$, $35\%$ of $h$ is equivalent to $49\%$ of $j$, and $j$ is equivalent to $45\%$ of $k$. What percentage of $k$ is $h$? (Disregard the $\%$ sign when entering your answer. For example, if your answer is $39\%$, enter $39$)","","{}","63","","1","","2025-07-16T02:51:39.429255+00:00","2025-10-04T16:04:30.046696+00:00","","[""63""]","markdown","<p>For the positive quantities <span data-math=""h"" data-inline=""true""></span>, <span data-math=""j"" data-inline=""true""></span>, and <span data-math=""k"" data-inline=""true""></span>, <span data-math=""35\%"" data-inline=""true""></span> of <span data-math=""h"" data-inline=""true""></span> is equivalent to <span data-math=""49\%"" data-inline=""true""></span> of <span data-math=""j"" data-inline=""true""></span>, and <span data-math=""j"" data-inline=""true""></span> is equivalent to <span data-math=""45\%"" data-inline=""true""></span> of <span data-math=""k"" data-inline=""true""></span>. What percentage of <span data-math=""k"" data-inline=""true""></span> is <span data-math=""h"" data-inline=""true""></span>? (Disregard the <span data-math=""\%"" data-inline=""true""></span> sign when entering your answer. For example, if your answer is <span data-math=""39\%"" data-inline=""true""></span>, enter <span data-math=""39"" data-inline=""true""></span>)</p>","{}","","<p>For the positive quantities <span data-math=""h"" data-inline=""true""></span>, <span data-math=""j"" data-inline=""true""></span>, and <span data-math=""k"" data-inline=""true""></span>, <span data-math=""35\%"" data-inline=""true""></span> of <span data-math=""h"" data-inline=""true""></span> is equivalent to <span data-math=""49\%"" data-inline=""true""></span> of <span data-math=""j"" data-inline=""true""></span>, and <span data-math=""j"" data-inline=""true""></span> is equivalent to <span data-math=""45\%"" data-inline=""true""></span> of <span data-math=""k"" data-inline=""true""></span>. What percentage of <span data-math=""k"" data-inline=""true""></span> is <span data-math=""h"" data-inline=""true""></span>? (Disregard the <span data-math=""\%"" data-inline=""true""></span> sign when entering your answer. For example, if your answer is <span data-math=""39\%"" data-inline=""true""></span>, enter <span data-math=""39"" data-inline=""true""></span>)</p>","{}","","converted",""
"f3aa79cb-eccc-4763-bf40-bdca275fd1c0","f47ac10b-58cc-4372-a567-0e02b2c3d391","math2","9","grid_in","medium","There is a linear relationship between $x$ and $y$. The table shows three values of $x$ and their corresponding values of $y$ in terms of $a$ constant $n$. What is the slope of the line that represents this relationship in the $xy$-plane?","","{}","19/4","Using points (0, n) and (4, n+19): slope = (n+19-n)/(4-0) = 19/4","1","","2025-07-19T02:53:00.514195+00:00","2025-10-04T16:10:43.979716+00:00","","[""19/4"",""4.75""]","markdown","<p>There is a linear relationship between <span data-math=""x"" data-inline=""true""></span> and <span data-math=""y"" data-inline=""true""></span>. The table shows three values of <span data-math=""x"" data-inline=""true""></span> and their corresponding values of <span data-math=""y"" data-inline=""true""></span> in terms of <span data-math=""a"" data-inline=""true""></span> constant <span data-math=""n"" data-inline=""true""></span>. What is the slope of the line that represents this relationship in the <span data-math=""xy"" data-inline=""true""></span>-plane?</p>","{}","<p>Using points (0, n) and (4, n+19): slope = (n+19-n)/(4-0) = 19/4</p>","<p>There is a linear relationship between <span data-math=""x"" data-inline=""true""></span> and <span data-math=""y"" data-inline=""true""></span>. The table shows three values of <span data-math=""x"" data-inline=""true""></span> and their corresponding values of <span data-math=""y"" data-inline=""true""></span> in terms of <span data-math=""a"" data-inline=""true""></span> constant <span data-math=""n"" data-inline=""true""></span>. What is the slope of the line that represents this relationship in the <span data-math=""xy"" data-inline=""true""></span>-plane?</p>","{}","<p>Using points (0, n) and (4, n+19): slope = (n+19-n)/(4-0) = 19/4</p>","converted",""
"bf75438b-5c24-489f-b503-dc952bfb45a4","0ffab8ab-2882-4339-b90f-c156abe09b32","math2","9","grid_in","medium","In the figure shown, line $r$ is parallel to line $s$, and both lines are intersected by line $t$. If $x = 2w + 24$, $y = 5w + 29$, and $7w = a$, where $a$ is a constant, what is the value of $a$?","","","127","","1","[""parallel lines"",""algebra""]","2025-08-10T04:50:51.563131+00:00","2025-10-04T16:00:09.765081+00:00","","[""127""]","markdown","<p>In the figure shown, line <span data-math=""r"" data-inline=""true""></span> is parallel to line <span data-math=""s"" data-inline=""true""></span>, and both lines are intersected by line <span data-math=""t"" data-inline=""true""></span>. If <span data-math=""x = 2w + 24"" data-inline=""true""></span>, <span data-math=""y = 5w + 29"" data-inline=""true""></span>, and <span data-math=""7w = a"" data-inline=""true""></span>, where <span data-math=""a"" data-inline=""true""></span> is a constant, what is the value of <span data-math=""a"" data-inline=""true""></span>?</p>","","","<p>In the figure shown, line <span data-math=""r"" data-inline=""true""></span> is parallel to line <span data-math=""s"" data-inline=""true""></span>, and both lines are intersected by line <span data-math=""t"" data-inline=""true""></span>. If <span data-math=""x = 2w + 24"" data-inline=""true""></span>, <span data-math=""y = 5w + 29"" data-inline=""true""></span>, and <span data-math=""7w = a"" data-inline=""true""></span>, where <span data-math=""a"" data-inline=""true""></span> is a constant, what is the value of <span data-math=""a"" data-inline=""true""></span>?</p>","","","converted",""
"3918c40e-4861-4faf-b187-bbbcdff8b54f","550e6881-8930-4d5f-9c7a-1234567890ab","english2","27","multiple_choice","medium","While researching a topic, a student has taken the following notes:
\n- The Zim Smith Mid-County Trail is located in New York.\n- It is one of more than 2,000 disused railroad corridors in the US that have been converted into public trails since the 1960s.\n- Such trails are known as rail trails.\n- The Union Pacific Railroad Trail in Nevada is parallel to an active railway, the Union Pacific Railroad.\n- It is one of approximately 400 trails in the US that share a right-of-way with an active rail line.\n- Such trails are known as rails-with-trails.\n\nThe student wants to make a generalization about rails-with-trails. Which choice most effectively uses relevant information from the notes to accomplish this goal?","","{""A"":""{\""text\"":\""In the US, trails have been constructed from disused railroad corridors as well as on property parallel to active rail lines.\""}"",""B"":""{\""text\"":\""In the US, trails that share a right-of-way with an active rail line are less common than some other types of railway trails.\""}"",""C"":""{\""text\"":\""The Union Pacific Railroad Trail in Nevada is one of approximately 400 US trails that share a right-of-way with an active rail line.\""}"",""D"":""{\""text\"":\""Since the 1960s, thousands of public trails in the US have been created from disused railroad corridors.\""}""}","B","","1","","2025-07-19T20:42:25.115071+00:00","2025-09-06T00:08:45.465687+00:00","","","markdown","<p>While researching a topic, a student has taken the following notes:</p>
<ul>
<li>The Zim Smith Mid-County Trail is located in New York.</li>
<li>It is one of more than 2,000 disused railroad corridors in the US that have been converted into public trails since the 1960s.</li>
<li>Such trails are known as rail trails.</li>
<li>The Union Pacific Railroad Trail in Nevada is parallel to an active railway, the Union Pacific Railroad.</li>
<li>It is one of approximately 400 trails in the US that share a right-of-way with an active rail line.</li>
<li>Such trails are known as rails-with-trails.</li>
</ul>
<p>The student wants to make a generalization about rails-with-trails. Which choice most effectively uses relevant information from the notes to accomplish this goal?</p>","{""A"":""{\""text\"":\""In the US, trails have been constructed from disused railroad corridors as well as on property parallel to active rail lines.\""}"",""B"":""{\""text\"":\""In the US, trails that share a right-of-way with an active rail line are less common than some other types of railway trails.\""}"",""C"":""{\""text\"":\""The Union Pacific Railroad Trail in Nevada is one of approximately 400 US trails that share a right-of-way with an active rail line.\""}"",""D"":""{\""text\"":\""Since the 1960s, thousands of public trails in the US have been created from disused railroad corridors.\""}""}","","<p>While researching a topic, a student has taken the following notes:</p>
<ul>
<li>The Zim Smith Mid-County Trail is located in New York.</li>
<li>It is one of more than 2,000 disused railroad corridors in the US that have been converted into public trails since the 1960s.</li>
<li>Such trails are known as rail trails.</li>
<li>The Union Pacific Railroad Trail in Nevada is parallel to an active railway, the Union Pacific Railroad.</li>
<li>It is one of approximately 400 trails in the US that share a right-of-way with an active rail line.</li>
<li>Such trails are known as rails-with-trails.</li>
</ul>
<p>The student wants to make a generalization about rails-with-trails. Which choice most effectively uses relevant information from the notes to accomplish this goal?</p>","{""A"":""{\""text\"":\""In the US, trails have been constructed from disused railroad corridors as well as on property parallel to active rail lines.\""}"",""B"":""{\""text\"":\""In the US, trails that share a right-of-way with an active rail line are less common than some other types of railway trails.\""}"",""C"":""{\""text\"":\""The Union Pacific Railroad Trail in Nevada is one of approximately 400 US trails that share a right-of-way with an active rail line.\""}"",""D"":""{\""text\"":\""Since the 1960s, thousands of public trails in the US have been created from disused railroad corridors.\""}""}","","converted",""
"584c4a76-e470-40e3-9196-021a8dc8e357","0ffab8ab-2882-4339-b90f-c156abe09b32","math2","10","grid_in","medium","$f(x) = x + 4$\n$g(x) = 3x^2 - rx + 48$\n\nThe functions $f$ and $g$ are given. In function $g$, $r$ is a constant. If $f(x) \\cdot g(x) = 3x^3 + 192$, what is the value of $r$?","","","12","","1","[""polynomial functions"",""multiplication""]","2025-08-10T04:50:51.563131+00:00","2025-10-04T16:00:14.387515+00:00","","[""12""]","markdown","<p><span data-math=""f(x) = x + 4"" data-inline=""true""></span><br><span data-math=""g(x) = 3x^2 - rx + 48"" data-inline=""true""></span></p><br><p>The functions <span data-math=""f"" data-inline=""true""></span> and <span data-math=""g"" data-inline=""true""></span> are given. In function <span data-math=""g"" data-inline=""true""></span>, <span data-math=""r"" data-inline=""true""></span> is a constant. If <span data-math=""f(x) \\cdot g(x) = 3x^3 + 192"" data-inline=""true""></span>, what is the value of <span data-math=""r"" data-inline=""true""></span>?</p>","","","<p><span data-math=""f(x) = x + 4"" data-inline=""true""></span><br><span data-math=""g(x) = 3x^2 - rx + 48"" data-inline=""true""></span></p><br><p>The functions <span data-math=""f"" data-inline=""true""></span> and <span data-math=""g"" data-inline=""true""></span> are given. In function <span data-math=""g"" data-inline=""true""></span>, <span data-math=""r"" data-inline=""true""></span> is a constant. If <span data-math=""f(x) \\cdot g(x) = 3x^3 + 192"" data-inline=""true""></span>, what is the value of <span data-math=""r"" data-inline=""true""></span>?</p>","","","converted",""
"954f9527-903b-4c37-9aed-3f6ed638c488","b2c3d4e5-6789-abcd-ef01-23456789abcd","math1","18","grid_in","medium","$$h(t) = -16t^2 + b$$The function $h$ estimates an object's height, in feet, above the ground $t$ seconds after the object is dropped, where $b$ is a constant. The function estimates that the object is $2.56$ feet above the ground when it is dropped at $t = 0$. How many seconds after being dropped does the function estimate the object will hit the ground?","","{}","0.4","","1","","2025-07-19T22:57:05.769995+00:00","2025-10-04T16:01:19.557772+00:00","","[""0.4""]","markdown","<p><span data-math=""h(t) = -16t^2 + b"" data-inline=""false""></span>The function <span data-math=""h"" data-inline=""true""></span> estimates an object&#39;s height, in feet, above the ground <span data-math=""t"" data-inline=""true""></span> seconds after the object is dropped, where <span data-math=""b"" data-inline=""true""></span> is a constant. The function estimates that the object is <span data-math=""2.56"" data-inline=""true""></span> feet above the ground when it is dropped at <span data-math=""t = 0"" data-inline=""true""></span>. How many seconds after being dropped does the function estimate the object will hit the ground?</p>","{}","","<p><span data-math=""h(t) = -16t^2 + b"" data-inline=""false""></span>The function <span data-math=""h"" data-inline=""true""></span> estimates an object&#39;s height, in feet, above the ground <span data-math=""t"" data-inline=""true""></span> seconds after the object is dropped, where <span data-math=""b"" data-inline=""true""></span> is a constant. The function estimates that the object is <span data-math=""2.56"" data-inline=""true""></span> feet above the ground when it is dropped at <span data-math=""t = 0"" data-inline=""true""></span>. How many seconds after being dropped does the function estimate the object will hit the ground?</p>","{}","","converted",""
"d9c79360-fc25-474b-874b-b522c1357f0a","b2c3d4e5-6789-abcd-ef01-23456789abcd","math2","16","grid_in","medium","As the size of a firework's shell increases, the height above the ground when the firework bursts increases. For a firework to burst $1,075$ feet above the ground, a firework's shell in the shape of a sphere with a volume of $542.68$ cubic inches could be used. To the nearest whole number, what is the volume of this firework's shell in __cubic centimeters__? ($1$ inch = $2.54$ centimeters)","","{}","8887","","1","","2025-07-19T22:57:05.769995+00:00","2025-10-04T16:03:30.372429+00:00","","[""8887""]","markdown","<p>As the size of a firework&#39;s shell increases, the height above the ground when the firework bursts increases. For a firework to burst <span data-math=""1,075"" data-inline=""true""></span> feet above the ground, a firework&#39;s shell in the shape of a sphere with a volume of <span data-math=""542.68"" data-inline=""true""></span> cubic inches could be used. To the nearest whole number, what is the volume of this firework&#39;s shell in <u>cubic centimeters</u>? (<span data-math=""1"" data-inline=""true""></span> inch = <span data-math=""2.54"" data-inline=""true""></span> centimeters)</p>","{}","","<p>As the size of a firework&#39;s shell increases, the height above the ground when the firework bursts increases. For a firework to burst <span data-math=""1,075"" data-inline=""true""></span> feet above the ground, a firework&#39;s shell in the shape of a sphere with a volume of <span data-math=""542.68"" data-inline=""true""></span> cubic inches could be used. To the nearest whole number, what is the volume of this firework&#39;s shell in <u>cubic centimeters</u>? (<span data-math=""1"" data-inline=""true""></span> inch = <span data-math=""2.54"" data-inline=""true""></span> centimeters)</p>","{}","","converted",""
"3d1c8841-f582-4376-9ce2-e88a903093ed","6f4eb255-3d1a-4e4c-90f3-99364b63c91a","math1","20","grid_in","medium","The graph of a line in the $xy$-plane passes through the point (1, 8) and crosses the $x$-axis at the point (7, 0). The line crosses the $y$-axis at the point (0, $b$). What is the value of $b$?","","{}","28/3","","1","","2025-07-15T22:36:53.334035+00:00","2025-09-06T00:00:11.958162+00:00","","[""28/3""]","markdown","<p>The graph of a line in the <span data-math=""xy"" data-inline=""true""></span>-plane passes through the point (1, 8) and crosses the <span data-math=""x"" data-inline=""true""></span>-axis at the point (7, 0). The line crosses the <span data-math=""y"" data-inline=""true""></span>-axis at the point (0, <span data-math=""b"" data-inline=""true""></span>). What is the value of <span data-math=""b"" data-inline=""true""></span>?</p>","{}","","<p>The graph of a line in the <span data-math=""xy"" data-inline=""true""></span>-plane passes through the point (1, 8) and crosses the <span data-math=""x"" data-inline=""true""></span>-axis at the point (7, 0). The line crosses the <span data-math=""y"" data-inline=""true""></span>-axis at the point (0, <span data-math=""b"" data-inline=""true""></span>). What is the value of <span data-math=""b"" data-inline=""true""></span>?</p>","{}","","converted",""
"e48ba8bc-0855-4866-82ad-1c14a6aeccde","6f4eb255-3d1a-4e4c-90f3-99364b63c91a","math1","21","grid_in","easy","The table shows three values of x and their corresponding values of y. The linear relationship between x and y can be represented by an equation written in the form Ax + By = C, where A, B, and C are constants. What is the value of A/B?","","{}","-6","","1","","2025-07-15T22:36:53.334035+00:00","2025-10-04T16:02:13.619369+00:00","{""rows"":[[""-2"",""19""],[""0"",""31""],[""2"",""43""]],""headers"":[""X"",""Y""]}","[""-6""]","markdown","<p>The table shows three values of x and their corresponding values of y. The linear relationship between x and y can be represented by an equation written in the form Ax + By = C, where A, B, and C are constants. What is the value of A/B?</p>","{}","","<p>The table shows three values of x and their corresponding values of y. The linear relationship between x and y can be represented by an equation written in the form Ax + By = C, where A, B, and C are constants. What is the value of A/B?</p>","{}","","converted",""
"53ddd559-a112-402e-8c13-a7c0bd3192a7","f47ac10b-58cc-4372-a567-0e02b2c3d391","math2","10","grid_in","hard","$$18x^2 + 24x + c = 0$$In the given equation, $c$ is a constant. The equation has exactly one solution. What is the value of $c$?","","{}","8","For exactly one solution, discriminant = 0: 24² - 4(18)(c) = 0, so 576 - 72c = 0, giving c = 8.","1","","2025-07-19T02:53:00.514195+00:00","2025-10-04T16:03:51.243048+00:00","","[""8""]","markdown","<p><span data-math=""18x^2 + 24x + c = 0"" data-inline=""false""></span>In the given equation, <span data-math=""c"" data-inline=""true""></span> is a constant. The equation has exactly one solution. What is the value of <span data-math=""c"" data-inline=""true""></span>?</p>","{}","<p>For exactly one solution, discriminant = 0: 24² - 4(18)(c) = 0, so 576 - 72c = 0, giving c = 8.</p>","<p><span data-math=""18x^2 + 24x + c = 0"" data-inline=""false""></span>In the given equation, <span data-math=""c"" data-inline=""true""></span> is a constant. The equation has exactly one solution. What is the value of <span data-math=""c"" data-inline=""true""></span>?</p>","{}","<p>For exactly one solution, discriminant = 0: 24² - 4(18)(c) = 0, so 576 - 72c = 0, giving c = 8.</p>","converted",""
"a5f1e072-5f01-483b-ae46-8f178562eda3","b2c3d4e5-6789-abcd-ef01-23456789abcd","math1","16","grid_in","medium","Rectangles $ABCD$ and $EFGH$ are similar. The length of each side of rectangle $EFGH$ is $7$ times the length of the corresponding side of rectangle $ABCD$. The area of rectangle $ABCD$ is $68$ square units. What is the area of rectangle $EFGH$, in square units?","","{}","3332","","1","","2025-07-19T22:57:05.769995+00:00","2025-10-04T16:05:51.335982+00:00","","[""3332""]","markdown","<p>Rectangles <span data-math=""ABCD"" data-inline=""true""></span> and <span data-math=""EFGH"" data-inline=""true""></span> are similar. The length of each side of rectangle <span data-math=""EFGH"" data-inline=""true""></span> is <span data-math=""7"" data-inline=""true""></span> times the length of the corresponding side of rectangle <span data-math=""ABCD"" data-inline=""true""></span>. The area of rectangle <span data-math=""ABCD"" data-inline=""true""></span> is <span data-math=""68"" data-inline=""true""></span> square units. What is the area of rectangle <span data-math=""EFGH"" data-inline=""true""></span>, in square units?</p>","{}","","<p>Rectangles <span data-math=""ABCD"" data-inline=""true""></span> and <span data-math=""EFGH"" data-inline=""true""></span> are similar. The length of each side of rectangle <span data-math=""EFGH"" data-inline=""true""></span> is <span data-math=""7"" data-inline=""true""></span> times the length of the corresponding side of rectangle <span data-math=""ABCD"" data-inline=""true""></span>. The area of rectangle <span data-math=""ABCD"" data-inline=""true""></span> is <span data-math=""68"" data-inline=""true""></span> square units. What is the area of rectangle <span data-math=""EFGH"" data-inline=""true""></span>, in square units?</p>","{}","","converted",""
